% Langmuir characteristic curve

% U (Volt)	I (A)
63.450001	-3.149034E-7
63.459999	-3.656605E-7
63.465000	-3.275927E-7
63.474998	-3.232853E-7
63.480000	-6.024493E-7
63.490002	-3.952300E-7
63.494999	-9.499490E-8
63.505001	-2.979068E-7
63.509998	-1.838198E-7
63.520000	-2.007000E-7
63.525002	-2.472661E-7
63.535000	-2.514571E-7
63.540001	-3.656605E-7
63.549999	-2.768356E-7
63.555000	-5.728798E-7
63.564999	-2.937159E-7
63.570000	-2.556480E-7
63.580002	-1.626322E-7
63.584999	-2.726447E-7
63.595001	-2.853340E-7
63.599998	-2.429588E-7
63.610001	-3.783498E-7
63.615002	-2.768356E-7
63.625000	-3.105961E-7
63.630001	-2.768356E-7
63.639999	-2.260786E-7
63.645000	-1.753215E-7
63.654999	-2.979068E-7
63.660000	-1.203734E-7
63.669998	-6.109476E-7
63.674999	-3.232853E-7
63.685001	-1.457520E-7
63.689999	-3.656605E-7
63.700001	-3.149034E-7
63.705002	-3.275927E-7
63.715000	-2.133893E-7
63.720001	-3.571622E-7
63.730000	-1.795124E-7
63.735001	-2.472661E-7
63.744999	-6.530900E-8
63.750000	-2.175802E-7
63.759998	-3.022142E-7
63.764999	-3.613532E-7
63.775002	-2.979068E-7
63.779999	-3.232853E-7
63.790001	-5.221227E-7
63.794998	-4.206086E-7
63.805000	-2.429588E-7
63.810001	-3.064051E-7
63.820000	-1.245644E-7
63.825001	-3.022142E-7
63.834999	-2.091983E-7
63.840000	-3.149034E-7
63.849998	-2.048910E-7
63.855000	-2.133893E-7
63.865002	-8.649658E-8
63.869999	-2.514571E-7
63.880001	-9.499490E-8
63.884998	-2.599554E-7
63.895000	-2.641464E-7
63.900002	-2.260786E-7
63.910000	-3.064051E-7
63.915001	-2.302695E-7
63.924999	-3.064051E-7
63.930000	-2.472661E-7
63.939999	-4.206086E-7
63.945000	-3.064051E-7
63.955002	-3.571622E-7
63.959999	-2.895249E-7
63.970001	-2.260786E-7
63.974998	-2.556480E-7
63.985001	-2.048910E-7
63.990002	-2.472661E-7
64.000000	-2.007000E-7
64.004997	-2.345769E-7
64.014999	-1.033768E-7
64.019997	-2.302695E-7
64.029999	-3.105961E-7
64.035004	-2.387678E-7
64.044998	-5.052425E-7
64.050003	-2.472661E-7
64.059998	-2.133893E-7
64.065002	-2.387678E-7
64.074997	-3.571622E-7
64.080002	-3.571622E-7
64.089996	-3.698515E-7
64.095001	-5.692709E-8
64.105003	-3.698515E-7
64.110001	-2.853340E-7
64.120003	-2.091983E-7
64.125000	-4.417961E-7
64.135002	-3.867317E-7
64.139999	-2.556480E-7
64.150002	-2.810266E-7
64.154999	-3.444729E-7
64.165001	-2.937159E-7
64.169998	-4.121102E-7
64.180000	-6.961636E-8
64.184998	-2.175802E-7
64.195000	-1.711305E-7
64.199997	-3.698515E-7
64.209999	-2.683373E-7
64.214996	-2.726447E-7
64.224998	-2.641464E-7
64.230003	-2.175802E-7
64.239998	-1.203734E-7
64.245003	-2.218876E-7
64.254997	-2.260786E-7
64.260002	-2.133893E-7
64.269997	-2.514571E-7
64.275002	-2.895249E-7
64.285004	-2.429588E-7
64.290001	-1.838198E-7
64.300003	-2.345769E-7
64.305000	-1.330627E-7
64.315002	-2.937159E-7
64.320000	-6.111804E-8
64.330002	-3.740424E-7
64.334999	-2.641464E-7
64.345001	-3.698515E-7
64.349998	-3.064051E-7
64.360001	-3.444729E-7
64.364998	-4.291069E-7
64.375000	-3.317837E-7
64.379997	-2.683373E-7
64.389999	-2.218876E-7
64.394997	-2.048910E-7
64.404999	-4.079193E-7
64.410004	-2.345769E-7
64.419998	-5.261973E-8
64.425003	-2.472661E-7
64.434998	-2.429588E-7
64.440002	-4.671747E-7
64.449997	-2.979068E-7
64.455002	-3.910391E-7
64.464996	-5.643815E-7
64.470001	-2.599554E-7
64.480003	-3.529713E-7
64.485001	-2.853340E-7
64.495003	-2.853340E-7
64.500000	-1.160661E-7
64.510002	-4.037283E-7
64.514999	-3.402820E-7
64.525002	-1.626322E-7
64.529999	-3.359746E-7
64.540001	-1.711305E-7
64.544998	-2.895249E-7
64.555000	-1.711305E-7
64.559998	-1.668232E-7
64.570000	-2.007000E-7
64.574997	-2.895249E-7
64.584999	-2.260786E-7
64.589996	-2.556480E-7
64.599998	-2.260786E-7
64.605003	-3.486639E-7
64.614998	-2.726447E-7
64.620003	-2.387678E-7
64.629997	-1.795124E-7
64.635002	-2.302695E-7
64.644997	-2.726447E-7
64.650002	-2.683373E-7
64.660004	-1.922017E-7
64.669998	-2.599554E-7
64.675003	-1.753215E-7
64.684998	-1.838198E-7
64.690002	-2.345769E-7
64.699997	-3.613532E-7
64.705002	-3.698515E-7
64.714996	-2.937159E-7
64.720001	-3.190944E-7
64.730003	-2.133893E-7
64.735001	-2.979068E-7
64.745003	-2.895249E-7
64.750000	-2.133893E-7
64.760002	-2.472661E-7
64.764999	-1.626322E-7
64.775002	-1.753215E-7
64.779999	-2.387678E-7
64.790001	-1.414446E-7
64.794998	-2.218876E-7
64.805000	-2.472661E-7
64.809998	-3.656605E-7
64.820000	-3.149034E-7
64.824997	-2.979068E-7
64.834999	-2.133893E-7
64.839996	-2.345769E-7
64.849998	-2.345769E-7
