Mass [amu]	Ion Current [A]
13.72	-1.307080e-013
13.75	-1.325595e-013
13.78	-1.296978e-013
13.81	-1.216198e-013
13.84	-1.122895e-013
13.88	-1.068185e-013
13.91	-1.082136e-013
13.94	-1.154019e-013
13.97	-1.233074e-013
14.00	-1.270739e-013
14.03	-1.260731e-013
14.06	-1.235269e-013
14.09	-1.232462e-013
14.13	-1.261815e-013
14.16	-1.304125e-013
14.19	-1.346707e-013
14.22	-1.385437e-013
14.25	-1.397003e-013
14.28	-1.364058e-013
14.31	-1.315796e-013
14.34	-1.298627e-013
14.38	-1.321870e-013
14.41	-1.356448e-013
14.44	-1.380533e-013
14.47	-1.407242e-013
14.50	-1.453785e-013
14.53	-1.502171e-013
14.56	-1.517679e-013
14.59	-1.491017e-013
14.63	-1.438786e-013
14.66	-1.377240e-013
14.69	-1.314851e-013
14.72	-1.264312e-013
14.75	-1.247253e-013
14.78	-1.275219e-013
14.81	-1.329438e-013
14.84	-1.373079e-013
14.88	-1.380567e-013
14.91	-1.357869e-013
14.94	-1.343422e-013
14.97	-1.372150e-013
15.00	-1.432426e-013
15.03	-1.476285e-013
15.06	-1.473871e-013
15.09	-1.444203e-013
15.13	-1.425043e-013
15.16	-1.424447e-013
15.19	-1.419604e-013
15.22	-1.393984e-013
15.25	-1.358068e-013
15.28	-1.339940e-013
15.31	-1.359785e-013
15.34	-1.406161e-013
15.38	-1.445673e-013
15.41	-1.461454e-013
15.44	-1.459777e-013
15.47	-1.431769e-013
15.50	-1.341288e-013
15.53	-1.160881e-013
15.56	-8.955357e-014
15.59	-5.723224e-014
15.63	-2.240695e-014
15.66	1.175866e-014
15.69	4.180533e-014
15.72	6.441092e-014
15.75	7.905730e-014
15.78	8.877903e-014
15.81	9.658318e-014
15.84	1.026553e-013
15.88	1.058351e-013
15.91	1.058729e-013
15.94	1.031916e-013
15.97	9.807549e-014
16.00	9.180247e-014
16.03	8.697808e-014
16.06	8.412796e-014
16.09	7.957902e-014
16.13	6.952759e-014
16.16	5.475006e-014
16.19	3.915468e-014
16.22	2.563983e-014
16.25	1.526069e-014
16.28	7.856332e-015
16.31	2.288835e-015
16.34	-3.041939e-015
16.38	-1.078921e-014
16.41	-2.393063e-014
16.44	-4.243907e-014
16.47	-6.343399e-014
16.50	-8.346810e-014
16.53	-9.666713e-014
16.56	-9.517766e-014
16.59	-7.669881e-014
16.63	-4.801561e-014
16.66	-1.808067e-014
16.69	9.062040e-015
16.72	3.340043e-014
16.75	5.516687e-014
16.78	7.326416e-014
16.81	8.604996e-014
16.84	9.336854e-014
16.88	9.699435e-014
16.91	9.898392e-014
16.94	1.001331e-013
16.97	9.948740e-014
17.00	9.507161e-014
17.03	8.583011e-014
17.06	7.374821e-014
17.09	6.307709e-014
17.13	5.527128e-014
17.16	4.641889e-014
17.19	3.236742e-014
17.22	1.440397e-014
17.25	-1.735291e-015
17.28	-1.120189e-014
17.31	-1.429823e-014
17.34	-1.647571e-014
17.38	-2.413513e-014
17.41	-3.965410e-014
17.44	-6.011509e-014
17.47	-8.015215e-014
17.50	-9.472546e-014
17.53	-9.831108e-014
17.56	-8.273186e-014
17.59	-4.104510e-014
17.63	2.323003e-014
17.66	9.491100e-014
17.69	1.588914e-013
17.72	2.106768e-013
17.75	2.537112e-013
17.78	2.900031e-013
17.81	3.170939e-013
17.84	3.332150e-013
17.88	3.411330e-013
17.91	3.448954e-013
17.94	3.455322e-013
17.97	3.421327e-013
18.00	3.346150e-013
18.03	3.238679e-013
18.06	3.103546e-013
18.09	2.932952e-013
18.13	2.722398e-013
18.16	2.479668e-013
18.19	2.203450e-013
18.22	1.897375e-013
18.25	1.611739e-013
18.28	1.410582e-013
18.31	1.296331e-013
18.34	1.205385e-013
18.38	1.066688e-013
18.41	8.453392e-014
18.44	5.405472e-014
18.47	1.617232e-014
18.50	-2.695590e-014
18.53	-6.917887e-014
18.56	-1.017913e-013
18.59	-1.199370e-013
18.63	-1.261065e-013
18.66	-1.272038e-013
18.69	-1.283670e-013
18.72	-1.296469e-013
18.75	-1.290536e-013
18.78	-1.269036e-013
18.81	-1.253891e-013
18.84	-1.255787e-013
18.88	-1.264803e-013
18.91	-1.264499e-013
18.94	-1.253969e-013
18.97	-1.246505e-013
19.00	-1.244837e-013
19.03	-1.244414e-013
19.06	-1.248709e-013
19.09	-1.258780e-013
19.13	-1.272721e-013
19.16	-1.293609e-013
19.19	-1.312801e-013
19.22	-1.310614e-013
19.25	-1.288887e-013
19.28	-1.269634e-013
19.31	-1.270396e-013
19.34	-1.305115e-013
19.38	-1.372992e-013
19.41	-1.441524e-013
19.44	-1.476965e-013
19.47	-1.476632e-013
19.50	-1.451797e-013
19.53	-1.400806e-013
19.56	-1.318993e-013
19.59	-1.233914e-013
19.63	-1.198014e-013
19.66	-1.221298e-013
19.69	-1.254332e-013
19.72	-1.259250e-013
19.75	-1.241485e-013
19.78	-1.214862e-013
19.81	-1.192647e-013
19.84	-1.195983e-013
19.88	-1.229562e-013
19.91	-1.262074e-013
19.94	-1.258492e-013
19.97	-1.224226e-013
20.00	-1.195390e-013
20.03	-1.188144e-013
20.06	-1.183158e-013
20.09	-1.164511e-013
20.13	-1.144295e-013
20.16	-1.143773e-013
20.19	-1.173639e-013
20.22	-1.225890e-013
20.25	-1.275679e-013
20.28	-1.307469e-013
20.31	-1.329490e-013
20.34	-1.348138e-013
20.38	-1.357503e-013
20.41	-1.365447e-013
20.44	-1.395768e-013
20.47	-1.454271e-013
20.50	-1.512562e-013
20.53	-1.537304e-013
20.56	-1.525579e-013
20.59	-1.493887e-013
20.63	-1.452346e-013
20.66	-1.410757e-013
20.69	-1.382902e-013
20.72	-1.373651e-013
20.75	-1.383972e-013
20.78	-1.418705e-013
20.81	-1.471547e-013
20.84	-1.518787e-013
20.88	-1.537528e-013
20.91	-1.524323e-013
20.94	-1.495335e-013
20.97	-1.467378e-013
21.00	-1.442895e-013
21.03	-1.419654e-013
21.06	-1.405615e-013
21.09	-1.409445e-013
21.13	-1.424275e-013
21.16	-1.432903e-013
21.19	-1.423425e-013
21.22	-1.399620e-013
21.25	-1.380402e-013
21.28	-1.380411e-013
21.31	-1.394099e-013
21.34	-1.409873e-013
21.38	-1.423203e-013
21.41	-1.433107e-013
21.44	-1.451941e-013
21.47	-1.503774e-013
21.50	-1.582398e-013
21.53	-1.637361e-013
21.56	-1.624085e-013
21.59	-1.547759e-013
21.63	-1.450679e-013
21.66	-1.367140e-013
21.69	-1.303342e-013
21.72	-1.261683e-013
21.75	-1.254035e-013
21.78	-1.275027e-013
21.81	-1.300097e-013
21.84	-1.319700e-013
21.88	-1.344101e-013
21.91	-1.382021e-013
21.94	-1.419356e-013
21.97	-1.421489e-013
22.00	-1.386061e-013
22.03	-1.357652e-013
22.06	-1.354823e-013
22.09	-1.350604e-013
22.13	-1.342075e-013
22.16	-1.360687e-013
22.19	-1.407939e-013
22.22	-1.439846e-013
22.25	-1.427309e-013
22.28	-1.402714e-013
22.31	-1.422801e-013
22.34	-1.494804e-013
22.38	-1.567725e-013
22.41	-1.587339e-013
22.44	-1.539096e-013
22.47	-1.458233e-013
22.50	-1.402947e-013
22.53	-1.394403e-013
22.56	-1.402032e-013
22.59	-1.402270e-013
22.63	-1.406783e-013
22.66	-1.425011e-013
22.69	-1.441597e-013
22.72	-1.433043e-013
22.75	-1.394300e-013
22.78	-1.350630e-013
22.81	-1.332475e-013
