Sourcefile	20230123 155844 Faraday Airdemo Scan Analog.qmp
Exporttime	23.01.2023 16:16:53

Start Time	23.01.2023 16:15:49
End Time	23.01.2023 16:16:36


Task Name	Scan
First Mass	0,00
Scan Width	50,00

Start Time	23.01.2023 16:15:49

Mass [amu]	Ion Current [A]
10,72	-1,534000e-013
10,75	-1,493818e-013
10,78	-1,461916e-013
10,81	-1,473968e-013
10,84	-1,536883e-013
10,88	-1,617180e-013
10,91	-1,675290e-013
10,94	-1,697069e-013
10,97	-1,685451e-013
11,00	-1,645346e-013
11,03	-1,589478e-013
11,06	-1,542342e-013
11,09	-1,527370e-013
11,13	-1,550324e-013
11,16	-1,590504e-013
11,19	-1,605527e-013
11,22	-1,566739e-013
11,25	-1,501232e-013
11,28	-1,467210e-013
11,31	-1,490111e-013
11,34	-1,551968e-013
11,38	-1,619102e-013
11,41	-1,660119e-013
11,44	-1,658653e-013
11,47	-1,611147e-013
11,50	-1,512056e-013
11,53	-1,352679e-013
11,56	-1,130137e-013
11,59	-8,618843e-014
11,63	-5,855645e-014
11,66	-3,314818e-014
11,69	-1,136927e-014
11,72	5,045793e-015
11,75	1,413838e-014
11,78	1,597708e-014
11,81	1,355482e-014
11,84	1,190493e-014
11,88	1,467527e-014
11,91	1,971583e-014
11,94	2,117057e-014
11,97	1,690405e-014
12,00	1,027992e-014
12,03	5,192648e-015
12,06	1,939739e-015
12,09	-1,987841e-015
12,13	-7,843456e-015
12,16	-1,438607e-014
12,19	-2,071762e-014
12,22	-2,717224e-014
12,25	-3,387944e-014
12,28	-4,107631e-014
12,31	-4,967404e-014
12,34	-6,016125e-014
12,38	-7,198957e-014
12,41	-8,465707e-014
12,44	-9,855765e-014
12,47	-1,140344e-013
12,50	-1,295012e-013
12,53	-1,410147e-013
12,56	-1,453377e-013
12,59	-1,434584e-013
12,63	-1,394039e-013
12,66	-1,366953e-013
12,69	-1,372540e-013
12,72	-1,412207e-013
12,75	-1,467012e-013
12,78	-1,509738e-013
12,81	-1,519786e-013
12,84	-1,487950e-013
12,88	-1,417539e-013
12,91	-1,333420e-013
12,94	-1,280954e-013
12,97	-1,288835e-013
13,00	-1,333521e-013
13,03	-1,362415e-013
13,06	-1,354459e-013
13,09	-1,334674e-013
13,13	-1,336185e-013
13,16	-1,370663e-013
13,19	-1,419459e-013
13,22	-1,450608e-013
13,25	-1,452249e-013
13,28	-1,433238e-013
13,31	-1,402795e-013
13,34	-1,368992e-013
13,38	-1,341495e-013
13,41	-1,328109e-013
13,44	-1,336749e-013
13,47	-1,374123e-013
13,50	-1,431643e-013
13,53	-1,480360e-013
13,56	-1,489783e-013
13,59	-1,454649e-013
13,63	-1,399472e-013
13,66	-1,346923e-013
13,69	-1,299723e-013
13,72	-1,263551e-013
13,75	-1,253058e-013
13,78	-1,269507e-013
13,81	-1,296936e-013
13,84	-1,316474e-013
13,88	-1,320031e-013
13,91	-1,311959e-013
13,94	-1,293543e-013
13,97	-1,262203e-013
14,00	-1,231467e-013
14,03	-1,223600e-013
14,06	-1,235947e-013
14,09	-1,242786e-013
14,13	-1,233350e-013
14,16	-1,224510e-013
14,19	-1,235119e-013
14,22	-1,258247e-013
14,25	-1,270279e-013
14,28	-1,272598e-013
14,31	-1,294578e-013
14,34	-1,344764e-013
14,38	-1,393685e-013
14,41	-1,412672e-013
14,44	-1,411547e-013
14,47	-1,424895e-013
14,50	-1,462491e-013
14,53	-1,499843e-013
14,56	-1,517533e-013
14,59	-1,517997e-013
14,63	-1,505991e-013
14,66	-1,481416e-013
14,69	-1,447419e-013
14,72	-1,406483e-013
14,75	-1,364239e-013
14,78	-1,338426e-013
14,81	-1,335673e-013
14,84	-1,335968e-013
14,88	-1,322932e-013
14,91	-1,307206e-013
14,94	-1,310317e-013
14,97	-1,336432e-013
15,00	-1,361449e-013
15,03	-1,355868e-013
15,06	-1,316000e-013
15,09	-1,266212e-013
15,13	-1,244117e-013
15,16	-1,272798e-013
15,19	-1,330879e-013
15,22	-1,378233e-013
15,25	-1,406808e-013
15,28	-1,429141e-013
15,31	-1,440409e-013
15,34	-1,429894e-013
15,38	-1,406264e-013
15,41	-1,385865e-013
15,44	-1,371794e-013
15,47	-1,345736e-013
15,50	-1,271928e-013
15,53	-1,111387e-013
15,56	-8,406096e-014
15,59	-4,785755e-014
15,63	-9,306907e-015
15,66	2,472408e-014
15,69	5,196964e-014
15,72	7,319069e-014
15,75	8,890832e-014
15,78	9,932506e-014
15,81	1,054290e-013
15,84	1,090503e-013
15,88	1,117678e-013
15,91	1,141874e-013
15,94	1,161022e-013
15,97	1,158108e-013
16,00	1,102459e-013
16,03	9,893486e-014
16,06	8,639975e-014
16,09	7,718415e-014
16,13	7,015228e-014
16,16	6,076182e-014
16,19	4,813180e-014
16,22	3,628038e-014
16,25	2,750345e-014
16,28	1,867569e-014
16,31	6,065143e-015
16,34	-9,957880e-015
16,38	-2,721497e-014
16,41	-4,556768e-014
16,44	-6,599257e-014
16,47	-8,701687e-014
16,50	-1,033658e-013
16,53	-1,090232e-013
16,56	-1,015788e-013
16,59	-8,206164e-014
16,63	-5,316098e-014
16,66	-2,003319e-014
16,69	1,135789e-014
16,72	3,807938e-014
16,75	5,988917e-014
16,78	7,680033e-014
16,81	8,887725e-014
16,84	9,651090e-014
16,88	1,000949e-013
16,91	1,002765e-013
16,94	9,803890e-014
16,97	9,453150e-014
17,00	9,093601e-014
17,03	8,728384e-014
17,06	8,274857e-014
17,09	7,793507e-014
17,13	7,366073e-014
17,16	6,807114e-014
17,19	5,821212e-014
17,22	4,346904e-014
17,25	2,635009e-014
17,28	1,038708e-014
17,31	-2,971825e-015
17,34	-1,464446e-014
17,38	-2,563409e-014
17,41	-3,709651e-014
17,44	-5,112434e-014
17,47	-6,784167e-014
17,50	-8,242169e-014
17,53	-8,581458e-014
17,56	-6,814710e-014
17,59	-2,470163e-014
17,63	3,932037e-014
17,66	1,116085e-013
17,69	1,802512e-013
17,72	2,381737e-013
17,75	2,837242e-013
17,78	3,189141e-013
17,81	3,453712e-013
17,84	3,624336e-013
17,88	3,697748e-013
17,91	3,695178e-013
17,94	3,650584e-013
17,97	3,587787e-013
18,00	3,506641e-013
18,03	3,391780e-013
18,06	3,235896e-013
18,09	3,045841e-013
18,13	2,829774e-013
18,16	2,588257e-013
18,19	2,324768e-013
18,22	2,068731e-013
18,25	1,857970e-013
18,28	1,686517e-013
18,31	1,514548e-013
18,34	1,324613e-013
18,38	1,117630e-013
18,41	8,720262e-014
18,44	5,550098e-014
18,47	1,621328e-014
18,50	-2,748054e-014
18,53	-6,974996e-014
18,56	-1,039481e-013
18,59	-1,259104e-013
18,63	-1,355999e-013
18,66	-1,364081e-013
18,69	-1,335685e-013
18,72	-1,309872e-013
18,75	-1,287232e-013
18,78	-1,244952e-013
18,81	-1,175257e-013
18,84	-1,104509e-013
18,88	-1,065479e-013
18,91	-1,060946e-013
18,94	-1,077644e-013
18,97	-1,110795e-013
19,00	-1,148824e-013
19,03	-1,167086e-013
19,06	-1,151212e-013
19,09	-1,109118e-013
19,13	-1,070943e-013
19,16	-1,069897e-013
19,19	-1,108223e-013
19,22	-1,159857e-013
19,25	-1,199339e-013
19,28	-1,219056e-013
19,31	-1,232828e-013
19,34	-1,257804e-013
19,38	-1,293933e-013
19,41	-1,327419e-013
19,44	-1,342190e-013
19,47	-1,331941e-013
19,50	-1,305848e-013
19,53	-1,271463e-013
19,56	-1,228620e-013
19,59	-1,195166e-013
19,63	-1,204308e-013
19,66	-1,253418e-013
19,69	-1,295946e-013
19,72	-1,306415e-013
19,75	-1,309336e-013
19,78	-1,328914e-013
19,81	-1,349261e-013
19,84	-1,334951e-013
19,88	-1,268017e-013
19,91	-1,163413e-013
19,94	-1,062037e-013
19,97	-1,011590e-013
20,00	-1,038617e-013
20,03	-1,128638e-013
20,06	-1,242765e-013
20,09	-1,344584e-013
20,13	-1,402748e-013
20,16	-1,397068e-013
20,19	-1,337661e-013
20,22	-1,261162e-013
20,25	-1,206692e-013
20,28	-1,199346e-013
20,31	-1,238808e-013
20,34	-1,298150e-013
20,38	-1,349722e-013
20,41	-1,382295e-013
20,44	-1,385929e-013
20,47	-1,357320e-013
20,50	-1,326444e-013
20,53	-1,338893e-013
20,56	-1,403571e-013
20,59	-1,479229e-013
20,63	-1,515717e-013
20,66	-1,500325e-013
20,69	-1,460104e-013
20,72	-1,425648e-013
20,75	-1,410313e-013
20,78	-1,414953e-013
20,81	-1,434248e-013
20,84	-1,464256e-013
20,88	-1,500462e-013
20,91	-1,530823e-013
20,94	-1,549693e-013
20,97	-1,563097e-013
21,00	-1,558687e-013
21,03	-1,508191e-013
21,06	-1,417651e-013
21,09	-1,334877e-013
21,13	-1,301296e-013
21,16	-1,315340e-013
21,19	-1,342061e-013
21,22	-1,353297e-013
21,25	-1,347242e-013
21,28	-1,327263e-013
21,31	-1,291142e-013
21,34	-1,254553e-013
21,38	-1,246414e-013
21,41	-1,264007e-013
21,44	-1,276750e-013
21,47	-1,275014e-013
21,50	-1,270414e-013
21,53	-1,263705e-013
21,56	-1,247638e-013
21,59	-1,227023e-013
21,63	-1,213671e-013
21,66	-1,210016e-013
21,69	-1,213255e-013
21,72	-1,229444e-013
21,75	-1,266798e-013
21,78	-1,315169e-013
21,81	-1,354458e-013
21,84	-1,384562e-013
21,88	-1,416912e-013
21,91	-1,439620e-013
21,94	-1,425816e-013
21,97	-1,379345e-013
22,00	-1,343329e-013
22,03	-1,350421e-013
22,06	-1,386034e-013
22,09	-1,422145e-013
22,13	-1,454328e-013
22,16	-1,473630e-013
22,19	-1,454540e-013
22,22	-1,396684e-013
22,25	-1,331955e-013
22,28	-1,289871e-013
22,31	-1,282175e-013
22,34	-1,304342e-013
22,38	-1,336192e-013
22,41	-1,349591e-013
22,44	-1,331301e-013
22,47	-1,301610e-013
22,50	-1,286412e-013
22,53	-1,277153e-013
22,56	-1,258009e-013
22,59	-1,246813e-013
22,63	-1,263228e-013
22,66	-1,293519e-013
22,69	-1,314219e-013
22,72	-1,317856e-013
22,75	-1,312829e-013
22,78	-1,312594e-013
22,81	-1,322146e-013
22,84	-1,338742e-013
22,88	-1,359584e-013
22,91	-1,378123e-013
22,94	-1,388335e-013
22,97	-1,397112e-013
23,00	-1,412433e-013
23,03	-1,429739e-013
23,06	-1,441477e-013
23,09	-1,442027e-013
23,13	-1,430576e-013
23,16	-1,421233e-013
23,19	-1,425940e-013
23,22	-1,429720e-013
23,25	-1,413264e-013
23,28	-1,386222e-013
23,31	-1,372264e-013
23,34	-1,380487e-013
23,38	-1,404510e-013
23,41	-1,431051e-013
23,44	-1,443538e-013
23,47	-1,427741e-013
23,50	-1,387693e-013
23,53	-1,354521e-013
23,56	-1,354866e-013
23,59	-1,372011e-013
23,63	-1,366956e-013
23,66	-1,335633e-013
23,69	-1,316651e-013
23,72	-1,334136e-013
23,75	-1,357562e-013
23,78	-1,342473e-013
23,81	-1,295368e-013
23,84	-1,266210e-013
23,88	-1,285662e-013
23,91	-1,339511e-013
23,94	-1,394070e-013
23,97	-1,424796e-013
24,00	-1,424860e-013
24,03	-1,390541e-013
24,06	-1,318670e-013
24,09	-1,236731e-013
24,13	-1,198878e-013
24,16	-1,230444e-013
