% Langmuir characteristic curve

% U (Volt)	I (A)
-8.806500	-1.246808E-7
-8.799500	-4.883623E-7
-8.792500	-4.713656E-7
-8.785500	-8.230563E-8
-8.778500	-2.557645E-7
-8.771500	-2.387678E-7
-8.764500	-4.671747E-7
-8.757000	-2.514571E-7
-8.750000	-2.684537E-7
-8.743000	-3.868481E-7
-8.736000	-3.910391E-7
-8.729000	-2.938323E-7
-8.722000	-3.910391E-7
-8.715000	-3.741588E-7
-8.708000	-3.656605E-7
-8.701000	-3.868481E-7
-8.694000	-4.840549E-7
-8.687000	-2.726447E-7
-8.680000	-4.586764E-7
-8.673000	-8.230563E-8
-8.666000	-2.387678E-7
-8.659000	-3.149034E-7
-8.652000	-3.783498E-7
-8.645000	-2.557645E-7
-8.638000	-3.741588E-7
-8.631000	-3.487803E-7
-8.624000	-5.306210E-7
-8.617000	-4.332978E-7
-8.610000	-4.291069E-7
-8.603000	-2.007000E-7
-8.596000	-1.246808E-7
-8.589000	-3.445894E-7
-8.582000	-3.234018E-7
-8.575000	-4.291069E-7
-8.568000	-2.895249E-7
-8.561000	-3.868481E-7
-8.554000	-2.641464E-7
-8.547000	-2.472661E-7
-8.540000	-9.930227E-8
-8.533000	-2.726447E-7
-8.526000	-3.953464E-7
-8.519000	-4.249159E-7
-8.512000	-2.557645E-7
-8.505000	-3.529713E-7
-8.498000	-2.938323E-7
-8.491000	-3.234018E-7
-8.484000	-3.445894E-7
-8.477000	-3.614696E-7
-8.470000	-3.022142E-7
-8.463000	-9.080395E-8
-8.456000	-2.133893E-7
-8.449000	-2.726447E-7
-8.442000	-3.149034E-7
-8.435000	-2.895249E-7
-8.428000	-2.726447E-7
-8.421000	-2.895249E-7
-8.414000	-3.319001E-7
-8.407000	-3.529713E-7
-8.400000	-3.402820E-7
-8.393000	-3.445894E-7
-8.386000	-1.034932E-7
-8.379000	-3.614696E-7
-8.372000	-2.303859E-7
-8.365000	-3.149034E-7
-8.358000	-2.980232E-7
-8.351000	-4.291069E-7
-8.344000	-2.980232E-7
-8.337000	-3.275927E-7
-8.330000	-8.661300E-8
-8.323000	-3.360910E-7
-8.316000	-2.726447E-7
-8.309000	-3.572786E-7
-8.302000	-1.796288E-7
-8.295000	-2.853340E-7
-8.288000	-3.192108E-7
-8.281000	-4.544854E-7
-8.274000	-3.107125E-7
-8.267000	-2.430752E-7
-8.260000	-1.965091E-7
-8.253000	-2.811430E-7
-8.246000	-4.544854E-7
-8.239000	-4.376052E-7
-8.232000	-2.726447E-7
-8.225000	-3.065215E-7
-8.218000	-3.275927E-7
-8.211000	-2.726447E-7
-8.204000	-1.161825E-7
-8.197000	-2.641464E-7
-8.190000	-2.768356E-7
-8.183000	-3.445894E-7
-8.176000	-2.726447E-7
-8.169000	-3.614696E-7
-8.162000	-4.671747E-7
-8.155000	-3.107125E-7
-8.148000	-3.487803E-7
-8.141000	-3.995374E-7
-8.134000	-2.176967E-7
-8.127000	-2.811430E-7
-8.120000	-1.880107E-7
-8.113000	-3.614696E-7
-8.106000	-2.768356E-7
-8.099000	-3.234018E-7
-8.092000	-6.321352E-7
-8.085000	-2.853340E-7
-8.078000	-3.614696E-7
-8.071000	-2.599554E-7
-8.064000	-4.544854E-7
-8.057000	-3.614696E-7
-8.050000	-3.022142E-7
-8.043000	-1.923181E-7
-8.036000	-2.218876E-7
